#RPLIDAR SCAN DATA
#COUNT=278
#Angule	Distance	Quality
352.1667 2005.2 60
356.8414 1994.5 60
358.0115 1959.8 60
359.1870 1948.2 60
0.3571 1929.2 60
1.5271 1920.2 60
2.6862 1936.2 60
3.8397 1917.2 60
4.9988 1934.2 60
6.1523 1928.0 60
7.3718 1901.8 60
8.5144 1889.8 56
9.6515 1882.5 48
10.7611 1885.8 56
11.9366 1874.5 44
13.0902 1882.0 36
14.2603 1897.0 32
15.3699 1930.8 36
16.5289 1954.8 40
18.9185 1798.8 48
20.0885 1694.0 44
21.3574 1580.0 60
22.5439 1498.0 60
23.7799 1431.8 60
24.9994 1366.2 60
26.2024 1305.0 60
27.3560 1256.5 60
29.8114 1117.2 32
30.9650 1118.0 60
32.2339 1075.5 60
33.4204 1034.8 60
34.6838 1003.0 60
35.9363 965.2 60
37.1667 941.5 60
38.3862 913.5 60
39.4684 886.0 60
40.6714 869.2 60
41.9183 847.0 60
43.1982 827.5 60
44.3738 813.2 60
45.4669 791.8 60
46.7029 778.5 60
47.8729 761.2 60
49.1199 746.8 60
50.4053 728.5 60
53.9044 704.8 60
55.0909 722.0 60
56.7609 552.5 60
57.8705 548.8 60
59.0625 550.5 60
60.2325 562.5 60
62.8088 887.5 60
63.9020 922.2 60
65.0116 960.8 60
66.1377 943.5 60
67.3901 936.8 60
68.5437 933.8 60
69.7302 928.8 60
72.7460 1330.8 48
73.8391 1418.2 60
74.8883 1513.5 60
75.9979 1624.2 60
77.2174 1538.0 60
78.4039 1578.8 60
79.4971 1581.8 60
80.7330 1523.8 32
81.6998 1843.5 60
82.9358 1833.2 60
84.0894 1819.5 60
85.2155 1825.2 60
86.4185 1731.0 60
87.6050 1764.0 60
88.7640 1777.5 60
89.8901 1791.0 60
91.0767 1783.8 60
92.2302 1807.2 60
93.3234 1944.0 60
94.4659 1962.2 60
95.6525 1980.5 60
96.8115 1997.8 60
97.9816 1988.5 60
99.1077 1999.8 60
100.2777 2009.0 60
101.4478 2003.8 60
102.6398 1987.8 60
103.8098 1889.8 60
104.9634 1885.5 60
106.2158 1749.0 60
107.4957 1450.2 60
108.7482 1358.5 60
109.9182 1380.0 60
111.1542 1296.2 60
112.3572 1215.2 60
113.5931 1142.2 60
114.8566 1090.8 60
115.9662 1045.0 60
117.2461 991.0 60
118.5425 953.2 60
119.7949 867.2 60
121.0419 861.0 60
122.1844 851.8 60
123.3875 778.8 60
125.0574 619.5 60
128.1995 727.2 60
129.5618 703.2 60
130.5890 716.2 60
131.6382 730.0 60
132.9840 740.8 60
134.1046 754.5 60
135.0934 768.0 60
136.2305 782.5 60
137.3236 797.0 60
138.4497 816.0 60
139.6362 830.8 60
140.7458 851.2 60
141.9818 871.8 60
143.0585 892.8 60
144.1846 910.8 60
145.2612 938.2 60
146.4368 963.5 60
147.4969 996.0 60
148.6560 1026.0 60
149.7656 1060.5 60
150.7928 1102.5 60
152.0288 1103.5 60
153.1989 1137.8 60
154.2316 1224.5 60
155.3741 1275.0 60
156.4343 1320.2 60
157.5275 1383.8 60
158.6536 1455.2 60
159.8071 1511.5 60
160.8893 1594.0 60
162.0264 1667.0 60
163.1689 1765.8 60
164.2291 1884.5 56
165.9979 1055.8 52
171.1835 2012.8 56
172.3590 2052.5 60
173.4686 2050.8 60
174.6552 2056.5 60
175.8417 2042.0 60
176.9843 2062.8 60
178.1213 2068.0 60
179.2639 2100.2 60
180.4504 2103.0 60
181.6205 2101.8 60
182.7466 2116.8 60
183.8892 2105.2 60
185.0757 2106.8 60
189.7614 2068.2 60
190.8710 2099.0 60
192.0300 2091.8 60
193.2330 2101.8 60
194.3591 2088.5 60
195.5127 2161.2 52
196.7487 1967.5 52
197.9352 1817.5 60
199.1821 1695.5 60
200.3741 1572.0 60
201.6376 1485.0 60
202.8571 1408.8 60
204.0106 1329.0 60
205.1862 1270.0 60
206.4331 1207.0 60
207.6526 1154.2 60
208.8391 1109.8 60
210.0586 1062.2 60
211.2451 1019.2 60
212.4481 984.2 60
213.7006 951.8 60
214.8706 920.5 60
216.1066 890.2 60
217.3096 865.5 60
218.4796 849.8 60
219.7760 817.5 60
220.9515 793.8 60
222.2479 774.5 60
223.4180 758.2 60
224.5770 732.5 60
225.7031 722.0 60
227.0105 710.0 60
228.3234 694.0 60
229.4055 682.5 60
230.5920 673.5 60
231.7291 685.8 60
232.8717 703.2 60
233.9374 719.2 60
235.2338 726.8 60
236.3544 718.2 60
237.5574 710.2 60
238.7769 700.5 60
240.0128 694.0 60
241.1719 686.2 60
242.2156 679.2 60
243.4955 673.5 60
244.6051 666.8 60
245.8411 661.0 60
247.0605 659.5 60
251.9165 281.2 60
252.6855 279.5 60
254.2456 279.5 60
255.4980 236.5 60
257.1240 235.2 60
259.5905 233.8 60
260.2606 232.8 60
260.4364 232.0 60
263.0896 230.8 60
264.2651 230.0 60
264.5123 229.2 60
266.5887 228.8 60
266.2317 228.5 60
268.9178 228.2 60
268.9508 227.8 60
269.6979 227.8 60
272.4170 228.0 60
273.5925 227.5 60
274.7461 227.8 60
275.9216 228.0 60
276.1688 228.2 60
278.2452 228.8 60
279.4043 229.0 60
279.7009 229.8 60
281.7499 230.0 60
282.4969 231.2 60
283.4198 231.8 60
285.1392 233.0 60
285.2655 236.5 60
287.2321 275.2 60
289.1382 276.0 60
290.1379 279.2 60
292.3077 645.2 60
293.6536 648.8 60
294.6863 652.8 60
295.8398 661.0 60
297.0154 662.8 60
299.3390 674.2 60
300.4651 681.8 60
301.6846 689.8 60
302.7448 695.5 60
303.9478 703.0 60
307.3865 721.8 60
308.5455 696.8 60
309.7760 682.2 60
311.0449 664.8 60
312.1216 673.5 60
313.2147 687.8 60
314.4672 699.0 60
316.5930 719.5 40
317.7631 738.8 60
318.8892 752.5 60
320.0262 772.0 60
321.1084 789.8 60
322.2180 810.8 60
323.3881 820.0 60
324.4373 851.8 60
325.6677 870.0 60
326.7169 892.5 60
327.9034 920.8 60
328.9362 946.5 60
330.0897 971.2 60
331.1993 1008.0 60
332.3254 1044.0 60
333.4790 1086.0 60
334.5612 1130.2 60
335.6708 1174.0 60
336.7969 1215.0 60
337.9010 1274.5 60
339.0436 1340.2 56
340.1532 1401.0 56
341.2793 1481.2 48
342.3560 1552.5 40
344.5587 1748.2 40
345.6848 1852.8 36
346.7944 1978.0 52
347.9810 1979.8 60
349.1235 1996.2 60
350.2936 1995.5 60
